,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额,stock_code
2013-09-30,"492,556.52","6,245.26","14,062.58","512,864.36","434,032.73","31,885.18","22,129.86","25,259.93","513,307.70",-443.34,--,"5,341.58",68.51,--,--,"5,410.09","34,778.78",--,--,--,"34,778.78","-29,368.69",800.00,800.00,"250,503.45",--,--,"251,303.45","249,949.95","9,655.27",663.90,--,"259,605.22","-8,301.77",-619.29,"-38,733.09","120,279.62","81,546.53",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2013-06-30,"309,228.74","4,572.24","7,838.02","321,639.00","279,651.04","23,756.38","15,426.12","13,633.72","332,467.27","-10,828.26",--,540.00,68.51,--,--,608.51,"23,860.69",--,--,--,"23,860.69","-23,252.18",800.00,800.00,"114,701.93",--,--,"115,501.93","121,968.46","4,665.30",663.90,--,"126,633.76","-11,131.83",-593.89,"-45,806.17","120,279.62","74,473.45","24,046.49",--,--,"1,808.99","10,526.25",719.09,13.62,--,--,63.97,--,620.55,--,--,"5,332.51",220.14,-147.59,--,"7,022.50","-65,278.23","4,223.46",--,--,--,"-10,828.26",--,--,--,--,--,--,--,--,600522
2013-03-31,"130,744.66","3,885.68","3,800.81","138,431.15","117,415.12","14,405.74","6,824.39","9,905.87","148,551.11","-10,119.96",--,--,68.51,--,148.61,217.12,"12,572.37",--,--,442.05,"13,014.42","-12,797.30",--,--,"23,392.69",--,--,"23,392.69","30,348.29","1,280.48",--,--,"31,628.78","-8,236.09",-205.98,"-31,359.32","120,279.62","88,920.29",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2014-12-31,"869,190.64","12,500.54","22,736.60","904,427.78","772,979.51","45,466.00","52,184.59","53,576.70","924,206.81","-19,779.03","12,211.89",983.97,"1,901.75",--,--,"15,097.61","49,129.31",40.17,997.93,"2,216.49","52,383.90","-37,286.29","222,006.68","1,204.69","413,740.09","20,000.00","3,041.83","658,788.60","463,308.23","19,013.09","3,466.21","15,403.86","497,725.18","161,063.42",-412.38,"103,585.73","86,905.84","190,491.57","59,138.56",--,--,"3,281.32","24,055.03","1,624.51",36.15,--,--,66.51,--,"1,408.91",--,--,"8,431.98","-9,794.51","-1,629.15",2.34,"-57,410.39","-82,141.47","33,005.59",--,--,145.60,"-19,779.03",--,--,--,"190,491.57","86,905.84",--,--,"103,585.73",600522
2014-09-30,"619,475.39","10,582.81","21,822.39","651,880.59","572,346.54","38,700.28","32,449.69","31,712.23","675,208.74","-23,328.16","13,187.99",576.92,1.90,--,370.91,"14,137.72","26,366.16","2,045.17",997.93,--,"29,409.26","-15,271.54","223,058.81",965.59,"355,384.44","20,000.00","10,603.48","609,046.73","337,865.03","16,075.22","2,687.08","7,478.82","361,419.07","247,627.66",207.65,"209,235.62","85,905.84","295,141.46",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2014-06-30,"358,618.14","6,123.10","11,931.27","376,672.51","313,214.76","26,719.52","20,068.88","18,823.30","378,826.45","-2,153.94","12,211.89",454.00,--,--,370.91,"13,036.80","19,723.27","1,326.69",997.93,--,"22,047.88","-9,011.08","1,291.23",291.23,"269,766.47",--,"2,971.00","274,028.71","237,361.96","12,109.85","1,333.71","3,652.76","253,124.57","20,904.14",314.29,"10,053.41","85,905.84","95,959.25","38,438.33",--,--,"2,939.92","12,832.74","1,624.26",14.02,--,--,14.28,--,-291.57,--,--,"4,042.35","-10,315.91",-700.49,"-4,255.72","13,204.72","-86,247.32","11,984.75",--,--,"14,561.69","-2,153.94",--,--,--,--,--,--,--,--,600522
2014-03-31,"143,958.90","4,373.51","17,713.46","166,045.88","110,378.42","16,545.14","5,090.68","16,802.81","148,817.06","17,228.82","6,259.00",--,--,--,277.50,"6,536.50","8,942.71",997.93,997.93,--,"10,938.57","-4,402.07","1,000.00",--,"130,365.64",--,830.38,"132,196.01","165,139.97","2,901.95",747.78,"3,941.97","171,983.88","-39,787.87",206.39,"-26,754.73","85,905.84","59,151.12",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2015-12-31,"1,731,583.05","19,653.79","58,885.45","1,810,122.30","1,480,750.48","71,785.28","42,448.48","36,737.37","1,631,721.61","178,400.69","11,838.76",901.36,"1,478.39",--,44.27,"14,262.78","87,428.45","2,787.08","1,662.60","14,211.85","106,089.97","-91,827.19","56,296.00",--,"309,763.21","39,965.00","15,690.74","421,714.95","365,838.40","19,599.75","1,071.77","13,671.48","399,109.63","22,605.32","1,810.00","110,988.82","199,534.36","310,523.18","101,074.10",--,--,710.71,"29,762.12","1,846.16",84.79,--,--,626.49,--,"-5,683.88",--,--,"6,544.19","1,061.06","-1,171.75",659.64,"-33,500.86","-11,263.65","87,349.22",--,--,302.36,"178,400.69",--,--,--,"310,523.18","199,534.36",--,--,"110,988.82",600522
2015-09-30,"1,101,375.86","14,323.91","47,429.73","1,163,129.50","1,033,067.58","46,831.61","20,625.06","52,388.73","1,152,912.98","10,216.52","11,838.76",901.36,13.95,--,"3,279.81","16,033.88","41,903.67","3,887.08",--,"7,188.65","52,979.40","-36,945.52",--,--,"148,331.77","20,000.00","15,795.78","184,127.55","168,782.22","16,406.95","1,767.81",--,"185,189.17","-1,061.62","1,105.68","-26,684.93","190,491.57","163,806.64",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2015-06-30,"650,317.30","8,318.65","34,804.33","693,440.27","601,888.81","33,198.51","13,438.29","32,251.58","680,777.19","12,663.08","11,838.76",901.36,6.05,--,--,"12,746.17","34,122.21","2,787.08",--,"3,306.91","40,216.21","-27,470.03","3,107.49",--,"86,380.53",--,"15,824.19","105,312.21","104,599.76","12,947.25",880.80,--,"117,547.02","-12,234.81",577.51,"-26,464.26","190,491.57","164,027.31","39,352.90",--,--,"1,975.67","12,959.78",811.24,13.64,--,--,76.55,--,130.25,--,--,"2,950.40","-10,799.31",94.57,17.86,"-24,849.79","-71,469.04","61,398.37",--,--,--,"12,663.08",--,--,--,"164,027.31","190,491.57",--,--,"-26,464.26",600522
