,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2008-12-31,"38,718.95",369.49,--,723.11,"69,561.10","7,045.58",--,--,"3,193.99",--,"96,865.11",--,--,--,--,--,"216,477.33",--,--,--,--,"5,432.21",--,"50,576.15","4,971.88",0.39,--,--,--,--,"5,295.37",--,--,--,"1,359.10",453.85,"68,088.95","284,566.28","89,825.91",--,"5,639.09","30,885.09","34,062.50",--,"1,577.63","-1,348.63",--,--,"14,900.65",--,--,--,"3,700.00",--,"179,242.24",--,--,"1,198.93",--,"2,424.00",--,17.11,--,--,"3,640.04","182,882.28","27,080.30","25,050.87",--,--,--,"3,446.80",--,"32,291.13","87,869.11","13,814.90","101,684.00","284,566.28",600522
2008-09-30,"15,021.40",181.81,--,733.76,"68,282.90","9,884.12",--,--,"3,202.77",--,"88,376.09",--,--,--,--,--,"185,682.85",--,--,--,--,"5,432.21",--,"49,163.89","3,369.28",4.72,--,--,--,--,"5,326.98",--,--,--,"1,585.90",456.29,"65,339.27","251,022.11","64,971.69",--,"5,792.50","36,221.63","30,993.21",--,"1,921.67","-2,374.98",--,--,"8,555.63",--,--,--,"1,500.00",--,"147,581.36","3,700.00",--,--,--,"2,236.00",--,--,--,--,"5,936.00","153,517.36","27,080.30","25,050.87",--,--,--,"3,117.72",--,"27,858.67","83,107.56","14,397.19","97,504.76","251,022.11",600522
2008-06-30,"18,081.15",686.11,--,"1,575.10","65,909.80","10,903.64",--,--,"2,870.02",--,"80,150.24",--,--,--,--,0.95,"180,177.01",--,--,--,--,"5,432.21",--,"43,426.45","6,170.25",16.67,--,--,--,--,"4,971.77",--,--,212.80,"1,448.73",458.73,"62,137.61","242,314.62","72,531.21",--,"6,620.11","20,760.62","30,193.38",--,"1,036.75","-1,290.40",56.25,--,"7,154.02",--,--,--,"1,500.00",--,"138,561.94","6,000.00",--,--,--,"2,236.00",--,--,--,--,"8,236.00","146,797.94","27,080.30","25,050.87",--,--,--,"3,117.72",--,"26,231.47","81,480.36","14,036.32","95,516.68","242,314.62",600522
2008-03-31,"22,548.80",794.00,--,"2,751.19","52,626.55","11,311.91",--,--,"4,750.25",--,"79,838.42",--,--,--,--,2.38,"174,623.50",--,--,--,--,"5,432.21",--,"43,711.04","3,997.79",45.37,--,--,--,--,"4,969.86",--,--,17.66,"1,217.79",461.17,"59,852.88","234,476.38","59,037.76",--,"10,700.00","24,477.64","33,898.97",--,"1,153.97","-3,186.61",24.24,--,"8,582.36",--,--,--,"1,500.00",--,"136,188.33","6,000.00",--,800.00,--,"2,236.00",--,--,--,--,"9,036.00","145,224.33","27,080.30","25,050.87",--,--,--,"3,117.72",--,"20,795.85","76,044.74","13,207.31","89,252.06","234,476.38",600522
2009-12-31,"65,733.28","7,214.57",--,978.76,"91,265.58","9,019.30",--,--,"7,890.86",--,"104,474.41",--,--,--,--,--,"286,576.74",--,--,--,--,"5,561.29",--,"63,869.82","6,378.72",10.62,--,--,--,--,"5,354.04",--,--,--,"2,878.69",444.08,"84,497.27","371,074.01","81,601.34",--,"3,000.00","43,620.44","29,070.35",--,"2,455.40",643.32,--,--,"21,091.58",--,--,--,368.00,--,"181,850.42","3,500.00",--,--,--,"1,474.00",--,693.30,--,"1,104.00","6,771.30","188,621.73","32,080.30","63,772.59",--,--,--,"6,277.29",--,"62,959.03","165,089.20","17,363.08","182,452.28","371,074.01",600522
2009-09-30,"49,331.07","4,177.31",--,353.50,"99,816.75","16,506.96",--,--,"4,828.35",--,"110,617.58",--,--,--,--,--,"285,631.53",--,--,--,--,"5,780.54",--,"59,483.04","8,460.99",172.30,--,--,--,--,"5,385.81",--,--,2.56,"1,384.72",446.52,"81,116.49","366,748.01","84,085.82",--,"6,500.00","45,708.43","33,591.42",--,"4,014.52",-813.39,--,--,"14,236.00",--,--,--,--,--,"187,322.80","6,500.00",--,"1,198.93",--,"2,464.00",--,17.11,--,--,"10,180.04","197,502.83","32,080.30","61,680.87",--,--,--,"3,446.80",--,"55,903.68","153,111.66","16,133.52","169,245.18","366,748.01",600522
2009-06-30,"36,973.08","4,101.23",--,723.20,"100,322.60","12,833.67",--,--,"4,561.47",--,"91,974.19",--,--,--,--,--,"251,489.44",--,--,--,--,"5,780.54",--,"55,200.64","7,813.85",104.28,--,--,--,--,"5,233.64",--,--,--,"1,433.28",448.97,"76,015.19","327,504.63","75,241.05",--,"7,500.00","39,987.10","19,800.15",--,"2,884.40",-466.72,--,28.52,"17,225.64",--,--,--,--,--,"162,200.13",--,--,"1,328.93",--,"2,464.00",--,17.11,--,--,"3,810.04","166,010.17","32,080.30","61,680.87",--,--,--,"3,446.80",--,"47,805.78","145,013.75","16,480.71","161,494.46","327,504.63",600522
2009-03-31,"53,898.61","2,757.17",--,585.92,"88,160.13","9,334.05",--,--,"3,616.80",--,"95,712.20",--,--,--,--,--,"254,064.89",--,--,--,--,"5,432.21",--,"51,757.18","6,304.68",15.95,--,--,--,--,"5,264.50",--,--,7.86,"1,515.37",451.41,"70,749.15","324,814.03","81,467.44",--,"6,695.09","29,483.86","40,056.69",--,"2,246.41","-1,416.46",--,--,"12,903.76",--,--,--,--,--,"171,436.79",--,--,"1,328.93",--,"2,464.00",--,17.11,--,--,"3,810.04","175,246.83","32,080.30","61,685.87",--,--,--,"3,446.80",--,"37,923.25","135,136.22","14,430.99","149,567.21","324,814.03",600522
2010-12-31,"51,571.78","2,923.34",--,"1,437.43","145,632.88","20,463.51",--,--,"6,219.37",--,"98,276.80",--,--,--,--,"6,455.35","332,980.46",--,--,--,--,"5,561.29",--,"98,194.55","18,380.57",27.18,--,--,--,--,"14,198.11",--,--,--,"3,699.37",434.32,"140,495.39","473,475.85","101,169.46",--,"10,747.53","68,175.34","9,254.41",--,"4,057.92",221.83,--,--,"22,521.41",--,--,--,368.00,--,"216,515.90","40,080.18",--,--,--,"4,004.00",--,66.58,--,736.00,"44,886.77","261,402.67","32,080.30","57,950.63",--,--,--,"10,133.30",--,"96,208.69","196,372.92","15,700.26","212,073.18","473,475.85",600522
2010-09-30,"63,529.79","4,841.61",--,"1,104.81","136,004.20","22,099.65",--,--,"7,442.22",--,"93,888.05",--,--,--,--,--,"328,910.33",--,--,--,--,"5,561.29",--,"73,471.23","33,301.41",17.93,--,--,--,--,"14,343.84",--,--,--,"3,895.36",436.76,"131,027.83","459,938.15","151,784.57",--,"17,500.00","47,764.82","12,439.28",--,"5,792.09","-2,398.00",6.82,--,"24,059.92",--,--,--,368.00,--,"257,317.50",--,--,--,--,"2,101.50",--,1.73,--,920.00,"3,023.23","260,340.73","32,080.30","57,815.43",--,--,--,"6,277.29",--,"88,507.29","184,680.31","14,917.12","199,597.42","459,938.15",600522
