,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2008-12-31,"464,514.64","29,102.16",--,"308,665.04","404,667.23","126,842.18",--,179.88,"55,833.31",--,"724,576.34",--,--,--,--,"25,762.60","2,140,143.38",--,748.72,--,"5,448.89","55,353.30","41,583.17","752,536.19","73,516.45",--,"1,784.46",--,--,--,"186,099.49",--,"252,424.08","28,236.17","51,991.65",--,"1,449,722.56","3,589,865.94","361,110.52","2,212.62","452,193.73","780,921.33","136,948.54",--,"61,156.93","6,453.65",--,"29,838.19","43,462.52",--,--,--,--,"512,877.74","2,387,175.76","70,571.00",--,--,--,--,"1,854.19","5,516.46",--,"9,734.24","87,675.89","2,474,851.64","100,000.00","26,255.54",--,--,--,--,--,"390,816.02","517,703.72","597,310.58","1,115,014.30","3,589,865.94",000333
2008-09-30,"486,239.27",--,--,"337,253.54","435,355.46","228,159.50",--,--,"38,764.59",--,"909,518.27",--,--,--,--,"11,405.24","2,446,695.87",--,986.81,--,"2,325.00","59,871.41","39,098.01","662,047.42","66,160.63",--,"1,784.46",--,--,--,"143,985.04",--,"211,112.14","23,118.78","69,585.35",--,"1,280,075.06","3,726,770.93","358,653.49","2,086.46","499,751.22","899,974.55","100,388.64",--,"56,059.30","18,005.95",--,"30,067.59","46,042.86",--,--,--,"17,092.00","531,292.04","2,559,414.11","19,500.00",--,707.21,--,--,780.00,"5,999.08",--,"4,677.23","31,663.53","2,591,077.64","100,000.00","60,104.10",--,--,--,--,--,"334,915.78","486,840.33","648,852.96","1,135,693.30","3,726,770.93",000333
2008-06-30,"541,385.93","12,475.07",--,"341,780.51","548,065.77","198,621.06",--,--,"57,961.92",--,"915,972.84",--,--,--,--,"14,059.38","2,630,322.48",--,"35,997.46",--,"2,325.00","57,377.41","50,417.70","646,373.21","47,862.53",--,"2,282.24",--,--,--,"138,626.40",--,"213,343.94","21,854.72","71,386.85",--,"1,287,847.47","3,918,169.95","430,871.00","2,092.89","511,083.00","1,073,904.19","75,316.80",--,"49,381.82","-5,850.26","35,124.73",--,"39,582.03",--,--,--,"24,000.00","562,336.49","2,797,842.68","16,500.00",--,717.86,--,--,780.00,"6,071.00",--,"3,888.84","27,957.70","2,825,800.38","100,000.00","58,189.44",--,--,--,--,--,"319,776.72","469,817.14","622,552.43","1,092,369.56","3,918,169.95",000333
2008-03-31,"421,929.40",682.04,--,"183,638.28","433,902.52","303,502.48",--,"3,436.75","35,367.64",--,"828,914.58",--,--,--,--,"9,081.43","2,220,455.10",--,"56,513.61",--,"2,332.58","47,628.63","48,082.33","550,857.15","50,270.03",--,--,--,--,--,"116,377.29",--,"72,970.51","22,291.83","61,934.05",--,"1,029,258.02","3,249,713.11","460,831.88",--,"448,241.10","789,647.28","86,648.60",--,"44,085.27","4,069.67",--,"55,003.56","28,733.54",--,--,--,--,"409,656.95","2,326,917.85","40,500.00",--,--,--,--,--,--,--,"3,925.98","44,425.98","2,371,343.83","100,000.00","60,245.25",--,--,--,--,--,"262,217.35","425,266.18","453,103.10","878,369.29","3,249,713.11",000333
2009-12-31,"637,141.13","38,840.42",--,"762,139.37","692,757.70","186,962.92",--,--,"134,855.90",--,"1,053,681.56",--,--,--,--,"26,554.81","3,532,933.81",--,102.94,--,6.36,"171,123.93","36,492.04","858,144.11","63,252.98",--,"1,784.46",--,--,--,"198,500.76",113.37,"231,201.86","22,331.94","90,258.48",335.96,"1,673,649.19","5,206,583.00","189,704.43",86.77,"461,963.82","1,396,962.84","325,162.68",--,"81,652.89","35,450.25",129.76,365.69,"75,454.85",--,--,"200,000.00","18,071.60","482,724.04","3,267,729.62","260,337.57",--,--,--,--,"1,121.35","8,695.33",--,"10,584.96","280,739.22","3,548,468.84","100,000.00","179,665.90",--,--,--,"2,191.37",--,"489,297.27","774,945.27","883,168.89","1,658,114.16","5,206,583.00",000333
2009-09-30,"736,772.67","13,551.62",--,"760,830.57","604,355.18","215,544.57",--,--,"63,769.10",--,"701,863.27",--,--,--,--,"20,281.66","3,116,968.63",--,72.18,--,--,"49,713.54","36,774.26","801,369.10","88,901.99",--,"1,830.17",--,--,--,"189,017.30",--,"272,234.06","32,787.33","84,781.82",--,"1,557,481.73","4,674,450.37","221,556.16",--,"396,831.34","1,182,041.68","299,330.03",--,"56,332.44","49,789.55",--,"10,017.47","49,136.73",--,--,--,--,"589,021.28","2,854,056.67","211,779.98",--,--,--,--,839.03,"5,389.28",--,"9,761.34","227,769.63","3,081,826.30","100,000.00","124,774.38",--,--,--,--,--,"503,676.40","730,380.49","862,243.57","1,592,624.07","4,674,450.37",000333
2009-06-30,"500,216.57","15,714.02",--,"663,433.13","727,654.78","147,217.18",--,179.88,"60,938.58",--,"553,539.87",--,--,--,--,"26,145.23","2,695,039.24",--,"1,262.12",--,--,"52,435.87","37,318.62","795,710.02","84,440.64",--,"2,181.66",--,--,--,"187,663.29",--,"260,234.06","32,724.53","81,514.40",--,"1,535,485.21","4,230,524.46","471,195.66",39.06,"525,155.54","992,189.49","110,917.43",--,"51,342.41","86,691.23",--,"19,591.21","45,960.02",--,--,--,--,"473,218.72","2,776,300.77","155,412.81",--,--,--,--,"1,180.62","6,066.57",--,"9,564.34","172,224.33","2,948,525.10","100,000.00","25,774.38",--,--,--,--,--,"484,596.03","610,831.82","671,167.54","1,281,999.36","4,230,524.46",000333
2009-03-31,"464,759.79","27,636.33",--,"302,701.81","569,289.57","166,483.85",--,179.88,"52,068.86",--,"782,647.43",--,--,--,--,"18,964.15","2,384,731.68",--,"1,012.73",--,--,"60,479.39","37,881.86","776,057.20","61,750.02",--,"2,204.32",--,--,--,"184,662.10",--,"259,306.78","33,630.84","62,397.53",--,"1,479,382.77","3,864,114.45","530,844.05",918.29,"518,263.59","859,592.11","182,618.10",--,"49,654.78","18,960.98",--,"28,276.73","47,481.92",--,--,--,--,"379,330.95","2,615,941.50","68,568.00",--,--,--,--,"1,854.19","5,524.52",--,"10,644.93","86,591.64","2,702,533.13","100,000.00","27,695.67",--,--,--,--,--,"430,332.17","557,666.61","603,914.71","1,161,581.31","3,864,114.45",000333
2010-12-31,"940,537.46","17,222.31",--,"555,398.82","691,110.33","470,571.66",--,"8,474.59","218,424.82",--,"1,974,998.12",--,--,--,--,"43,268.05","4,920,006.18",--,101.07,--,24.47,"176,688.95","53,564.24","1,184,441.53","146,818.19",--,"1,784.46",--,--,--,"233,966.03",261.13,"236,673.29","39,478.83","92,078.14","10,149.20","2,176,029.53","7,096,035.71","511,050.88",755.51,"914,912.11","1,606,029.17","419,801.28",--,"117,196.44","-40,700.57",391.10,"4,012.56","114,975.72",--,--,--,"26,387.99","556,113.89","4,230,926.06","227,148.69","357,880.63",--,--,--,"1,992.48","7,534.03",--,"15,737.27","610,293.11","4,841,219.17","100,000.00","217,111.23",--,--,--,"12,592.73",--,"768,390.30","1,103,285.35","1,151,531.19","2,254,816.54","7,096,035.71",000333
2010-09-30,"1,349,436.39","53,660.51",--,"937,209.63","959,357.14","522,823.04",--,"14,122.83","254,892.94",--,"1,170,366.04",--,--,--,--,"26,040.30","5,287,908.84",--,104.11,--,5.92,"242,804.64","61,774.01","968,820.64","115,300.78",--,"1,791.00",--,--,--,"231,411.58",227.18,"231,201.86","38,096.49","165,150.66",--,"2,056,688.84","7,344,597.68","265,004.66",184.45,"1,251,937.74","1,324,596.23","446,855.79",--,"68,021.01","137,044.78",--,"3,034.24","82,226.00",--,--,"200,000.00","20,000.00","929,068.24","4,727,973.14","257,188.55","204,787.63",--,--,--,"5,841.57","9,761.14",--,"11,481.88","489,060.78","5,217,033.92","100,000.00","202,796.67",--,--,--,"3,111.23",--,"720,372.04","1,030,718.66","1,096,845.10","2,127,563.76","7,344,597.68",000333
