,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2013-03-31,"131,661.94","131,661.94","122,053.64","103,101.01",305.52,"7,351.76","7,951.63","2,565.88",777.84,-325.62,-453.52,--,--,"8,829.17","1,023.64",67.89,16.34,"9,784.91","1,568.37","8,216.54","7,826.97",389.57,0.1110,0.1110,729.87,"8,946.40","8,482.32",464.09,600522
2014-12-31,"864,134.05","864,134.05","805,408.10","700,233.47","3,836.15","41,062.16","47,922.33","7,909.85","4,444.14","-1,408.91","9,794.51",316.32,--,"67,111.55","4,994.42",678.19,75.46,"71,427.78","12,289.23","59,138.56","56,552.74","2,585.82",0.7600,0.7600,"-9,891.21","49,247.35","47,819.05","1,428.30",600522
2014-09-30,"609,425.97","609,425.97","561,765.98","492,985.04","2,495.09","27,383.45","29,431.75","6,527.21","2,943.44",141.18,"11,284.65",368.99,--,"59,085.82","4,208.52",526.31,37.79,"62,768.02","11,492.64","51,275.38","48,633.50","2,641.88",0.6900,0.6900,"-5,154.51","46,120.88","43,999.79","2,121.09",600522
2014-06-30,"394,274.15","394,274.15","359,906.29","316,896.32","1,395.55","16,989.75","17,677.96","4,006.79","2,939.92",291.57,"10,315.91",295.42,--,"44,975.33","2,987.26",342.31,17.81,"47,620.27","9,181.94","38,438.33","36,279.76","2,158.57",0.5150,0.5150,"-12,714.08","25,724.25","24,855.51",868.74,600522
2014-03-31,"158,165.00","158,165.00","147,435.94","128,310.11",635.09,"7,888.71","7,546.58","1,991.65","1,063.81","-1,036.95","4,426.18",--,--,"14,118.29",412.18,204.87,--,"14,325.60","2,773.61","11,551.99","10,814.84",737.15,0.1540,0.1540,"-14,069.07","-2,517.08","-1,828.35",-688.73,600522
2015-12-31,"1,652,294.62","1,652,294.62","1,544,709.34","1,373,350.72","3,059.59","67,993.03","94,066.16","5,529.13",710.71,"5,683.88","-1,061.06",532.47,--,"112,208.10","9,851.21","1,603.07",731.12,"120,456.24","19,382.15","101,074.10","98,772.85","2,301.25",0.9880,0.9880,"22,278.23","123,352.32","125,693.74","-2,341.42",600522
2015-09-30,"1,057,695.71","1,057,695.71","1,000,127.65","907,882.03","1,915.46","37,448.68","47,776.47","2,305.36","2,799.65",-539.20,"7,070.65",586.44,--,"64,099.51","4,803.43",589.30,79.67,"68,313.65","11,902.96","56,410.69","54,880.91","1,529.78",0.6360,0.6360,"-11,143.78","45,266.91","44,951.54",315.37,600522
2015-06-30,"624,001.66","624,001.66","588,984.32","529,372.24","1,607.32","24,421.52","29,360.24","2,247.33","1,975.67",130.25,"10,799.31",444.56,--,"45,946.91","2,725.03",511.08,78.17,"48,160.85","8,807.95","39,352.90","38,285.81","1,067.09",0.4438,0.4438,"4,458.96","43,811.86","42,399.97","1,411.89",600522
2015-03-31,"282,838.61","282,838.61","271,685.92","243,966.94",810.08,"11,082.83","13,340.46","1,168.02","1,317.60","2,179.53","4,014.23",176.07,--,"17,346.45",819.09,146.23,0.14,"18,019.31","3,657.20","14,362.11","13,612.80",749.32,0.1578,0.1578,"4,792.61","19,154.72","18,072.30","1,082.43",600522
2016-12-31,"2,110,795.03","2,110,795.03","1,969,579.80","1,764,967.98","8,749.91","77,337.42","106,369.32","5,152.26","7,002.92",365.06,"35,736.61",527.89,--,"177,316.89","10,524.61",788.82,381.48,"187,052.68","27,505.46","159,547.22","158,804.83",742.39,0.6080,0.6080,"21,055.36","180,602.57","179,864.06",738.52,600522
