,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2010-06-30,"959,476.82",--,--,"525,380.38","255,865.74","167,348.58",247.96,--,"12,149.57",--,"253,608.35",--,--,--,--,--,"2,174,077.40",--,804.44,--,--,"100,216.39","1,773.09","294,543.65","35,057.49",--,--,--,--,--,"26,315.16",--,--,77.22,"18,513.71",--,"477,301.13","2,651,378.54",--,--,"338,372.28","657,346.17","160,748.87",--,"39,701.02","15,773.22",--,"36,180.70","388,352.02",--,--,--,"3,980.00",--,"1,640,454.27","7,400.00",--,--,--,--,"79,245.50","1,039.52",--,"4,195.15","91,880.17","1,732,334.45","133,851.88","33,989.26",--,--,--,"136,821.86",--,"414,880.83","720,325.79","198,718.30","919,044.09","2,651,378.54",600690
2010-03-31,"779,783.34",--,--,"546,380.92","253,894.93","24,934.90",--,--,"4,031.23",--,"225,233.22",--,--,--,--,--,"1,834,258.55",--,974.82,--,--,"89,874.87","1,814.91","296,853.95","37,923.05",--,--,--,--,--,"26,835.51",--,--,122.19,"19,577.77",--,"473,977.08","2,308,235.63",--,--,"269,706.27","526,593.87","174,722.89",--,"30,038.86","32,223.90",--,"28,797.32","248,377.25",--,--,--,"3,980.00","123,370.46","1,437,810.84","7,400.00",--,--,--,--,--,"1,086.78",--,"15,128.97","23,615.75","1,461,426.59","133,851.88","32,515.11",--,--,--,"136,821.86",--,"343,583.72","646,772.57","200,036.48","846,809.04","2,308,235.63",600690
2011-12-31,"1,289,008.83",--,--,"793,938.91","309,074.73","108,849.20","7,251.75",327.42,"28,038.37",--,"598,087.26",--,--,--,--,"4,791.19","3,139,367.66",--,929.76,--,--,"170,088.85","6,494.92","453,675.04","94,467.16",--,--,--,--,--,"53,231.14",--,--,"1,164.01","58,912.53",--,"838,963.41","3,978,331.07","114,376.60",--,"682,972.35","1,010,761.68","221,234.26",--,"102,462.68","67,028.41","1,795.48","57,650.94","336,143.87",--,--,--,"2,500.00",--,"2,596,926.27",--,"66,984.91",--,--,--,"149,232.28",948.36,--,"8,022.14","225,187.69","2,822,113.96","268,512.75","27,127.52",--,--,--,"166,741.22",--,"369,816.13","834,034.44","322,182.67","1,156,217.11","3,978,331.07",600690
2011-09-30,"1,438,616.94",--,--,"878,461.92","321,124.65","140,768.92","4,949.76",330.67,"10,851.23",--,"421,502.01",--,--,--,--,--,"3,216,606.10",--,"1,511.75",--,--,"158,373.03","2,940.91","408,405.21","94,240.66",--,--,--,--,--,"49,958.94",--,--,464.91,"54,178.69",--,"770,074.10","3,986,680.19","74,424.16",--,"783,561.17","834,335.38","199,110.06",--,"56,253.10","67,088.14",--,"79,432.13","580,401.56",--,--,--,--,--,"2,674,605.70","2,500.00","66,536.52",--,--,--,"120,372.18",951.05,--,"8,075.64","198,435.40","2,873,041.10","267,992.35","22,759.03",--,--,--,"146,157.80",--,"364,371.19","803,451.51","310,187.58","1,113,639.09","3,986,680.19",600690
2011-06-30,"1,273,617.19",--,--,"877,682.80","336,412.67","104,688.10","3,710.10",330.67,"22,432.69",--,"419,452.21",--,--,--,--,--,"3,038,326.43",--,"1,649.65",--,--,"129,407.41","2,975.63","403,809.18","85,361.19",--,--,--,--,--,"50,236.87",--,--,519.58,"51,804.96",--,"725,764.47","3,764,090.90","39,271.77",--,"663,670.88","1,012,036.10","158,888.65",--,"49,187.10","55,599.71",--,"99,147.41","529,377.33",--,--,--,--,--,"2,607,178.94","9,000.00",--,--,--,--,"118,072.18","1,000.60",--,"8,174.89","136,247.67","2,743,426.61","133,996.18","156,166.66",--,--,--,"146,157.80",--,"300,754.78","738,367.07","282,297.21","1,020,664.28","3,764,090.90",600690
2011-03-31,"1,145,722.91",--,--,"722,599.13","241,330.65","40,945.13","3,341.88","1,256.04","17,616.07",--,"413,064.79",--,--,--,--,--,"2,585,876.61",--,"1,360.55",--,--,"116,700.83","2,053.12","323,212.06","64,417.22",--,--,--,--,--,"41,440.72",--,--,20.10,"37,094.36",--,"586,298.95","3,172,175.56","42,257.14",--,"573,982.09","725,001.68","167,543.61",--,"47,607.75","57,577.00",29.14,"34,749.88","388,115.19",--,--,--,--,--,"2,036,863.46",--,--,--,--,--,"101,118.88","1,001.56",--,"8,301.95","110,422.39","2,147,285.85","133,996.18","181,463.76",--,--,--,"146,157.80",--,"295,988.96","758,515.83","266,373.87","1,024,889.70","3,172,175.56",600690
2012-12-31,"1,628,376.99",--,--,"1,100,407.81","419,672.03","71,901.01","5,911.70",--,"26,741.43",--,"709,864.52",--,--,--,--,"7,093.24","3,969,968.74",--,"1,002.24",--,--,"220,182.37","5,430.38","528,276.52","106,382.15",--,--,--,--,--,"56,459.33",--,--,"7,683.92","73,446.02",--,"998,862.93","4,968,831.67","109,795.93",--,"796,110.30","1,311,702.69","249,999.13",--,"119,969.39","97,260.26",748.73,"4,603.62","443,933.65",--,--,--,--,--,"3,134,123.71","5,953.68","69,964.26",--,--,--,"205,483.41","1,298.74",--,"9,393.97","292,094.06","3,426,217.77","268,512.75","42,672.14",--,--,--,"172,737.51",--,"627,026.52","1,112,854.65","429,759.25","1,542,613.90","4,968,831.67",600690
2012-09-30,"1,580,488.70","10,000.00",--,"1,114,613.26","397,069.62","102,934.83","5,012.06",--,"8,404.40",--,"529,530.13",--,--,--,--,"1,991.22","3,750,044.21",--,890.85,--,--,"211,597.54","5,656.00","501,634.34","93,653.04",--,--,--,--,--,"48,869.47",--,--,"5,472.90","60,548.46",--,"928,322.59","4,678,366.80","105,312.80",--,"548,333.61","1,292,408.59","225,822.62",--,"94,565.94","136,348.04","4,903.58","6,746.66","545,624.40",--,--,--,--,--,"2,960,066.24","6,834.62","68,724.43",--,--,--,"154,014.06",942.60,--,"9,343.25","239,858.96","3,199,925.20","268,512.75","29,670.98",--,--,--,"166,741.22",--,"600,325.18","1,066,173.40","412,268.19","1,478,441.59","4,678,366.80",600690
2012-06-30,"1,490,799.33",--,--,"767,811.65","373,132.63","125,061.94","8,911.45",490.47,"14,079.91",--,"470,093.11",--,--,--,--,443.14,"3,250,823.63",--,937.42,--,--,"196,904.19","5,656.66","481,326.62","98,022.28",--,--,--,--,--,"48,956.11",--,--,"4,403.35","61,338.80",--,"897,545.44","4,148,369.07","114,997.60",--,"530,499.42","1,114,999.05","169,189.66",--,"91,410.25","91,175.85","4,480.50","20,567.45","419,014.86",--,--,--,--,--,"2,556,334.64","2,661.40","69,461.95",--,--,--,"154,014.06",959.06,--,"9,574.61","236,671.07","2,793,005.71","268,512.75","27,462.31",--,--,--,"166,741.22",--,"509,397.94","973,570.41","381,792.94","1,355,363.35","4,148,369.07",600690
2012-03-31,"1,421,430.11",--,--,"685,396.63","348,218.92","118,726.71","8,859.97",327.42,"17,576.63",--,"560,203.13",--,--,--,--,"5,836.33","3,166,575.85",--,962.43,--,--,"182,584.21","6,261.18","466,772.01","89,142.23",--,--,--,--,--,"52,716.21",--,--,"5,161.07","62,762.60",--,"866,361.94","4,032,937.79","114,362.80",--,"726,559.29","972,730.60","193,041.46",--,"76,415.94","65,889.11","1,921.17","52,958.47","351,417.44",--,--,--,"2,200.00",--,"2,557,496.28",--,"67,890.13",--,--,--,"149,232.28",953.98,--,"7,984.37","226,060.76","2,783,557.04","268,512.75","26,708.01",--,--,--,"166,741.22",--,"431,880.23","895,648.18","353,732.58","1,249,380.75","4,032,937.79",600690
