,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2015-09-30,"6,263,705.10","6,263,705.10","5,837,216.93","4,524,811.52","29,455.76","879,641.92","415,019.54","-29,580.62","17,868.81",--,"84,599.76",--,--,"511,087.92","30,204.05","5,317.07",--,"535,974.90","84,406.10","451,568.80","343,132.41","108,436.39",0.5640,0.5620,"22,484.66","474,053.46","364,505.26","109,548.21",600690
2015-06-30,"4,192,008.56","4,192,008.56","3,862,725.70","3,027,389.47","19,379.29","553,448.95","269,660.97","-21,985.51","14,832.53",--,"46,815.98",--,--,"376,098.83","15,751.08","3,209.34",--,"388,640.58","58,624.01","330,016.57","262,885.72","67,130.85",0.4320,0.4310,"21,868.33","351,884.90","285,792.58","66,092.32",600690
2015-03-31,"2,187,084.73","2,187,084.73","2,056,776.04","1,582,057.40","8,715.21","322,833.62","143,627.70","-9,867.53","9,409.64",--,"19,117.05",--,--,"149,425.75","7,645.59","2,307.02",--,"154,764.32","27,670.83","127,093.49","97,933.22","29,160.27",0.3220,0.3220,-999.27,"126,094.22","97,023.14","29,071.08",600690
2016-12-31,"11,906,582.52","11,906,582.52","11,366,263.60","8,212,688.22","68,776.53","2,125,410.32","838,244.21","72,089.48","49,054.84","9,464.81","161,971.74",--,--,"711,755.47","142,304.03","35,739.47",--,"818,320.03","149,186.60","669,133.43","503,665.22","165,468.21",0.8260,0.8230,"-4,250.96","664,882.47","496,970.77","167,911.70",600690
2016-09-30,"8,427,059.34","8,427,059.34","8,002,622.87","5,977,027.89","28,872.03","1,336,503.43","616,113.09","27,035.55","17,070.88","-10,356.72","133,755.32",--,--,"547,835.06","58,992.84","29,146.63",--,"577,681.28","86,249.08","491,432.20","382,310.68","109,121.52",0.6270,0.6270,"-5,793.30","485,638.90","375,235.21","110,403.69",600690
2016-06-30,"4,878,660.69","4,878,660.69","4,540,484.35","3,467,573.21","17,169.69","669,307.63","354,308.25","12,506.90","19,618.67","-18,225.82","102,919.38",--,--,"422,869.90","46,032.49","5,648.33",--,"463,254.06","66,069.84","397,184.22","331,517.32","65,666.90",0.5430,0.5430,"-37,665.01","359,519.21","292,850.18","66,669.03",600690
2016-03-31,"2,223,660.80","2,223,660.80","2,096,209.65","1,587,979.74","7,963.34","321,864.78","167,247.80",492.64,"10,661.35","-5,654.32","78,065.01",--,--,"199,861.85","31,565.62","2,273.59",--,"229,153.88","34,301.26","194,852.61","159,681.51","35,171.10",0.2620,0.2620,"-39,477.08","155,375.53","120,643.60","34,731.93",600690
2017-12-31,"15,925,446.69","15,925,446.69","15,215,654.21","10,988,962.16","80,889.10","2,827,601.50","1,113,322.53","139,287.23","65,591.69","61,407.13","148,180.01",--,--,"1,011,312.24","69,296.32","26,162.97",--,"1,054,445.59","149,280.67","905,164.92","692,579.23","212,585.69",1.1360,1.0880,"-60,405.57","844,759.35","632,244.11","212,515.24",600690
2017-09-30,"11,918,961.36","11,918,961.36","11,336,428.44","8,355,217.94","61,459.92","2,102,444.77","694,869.59","99,047.15","23,389.07","52,625.23","97,242.36",--,--,"758,832.48","62,320.95","12,394.80",--,"808,758.63","97,611.64","711,146.98","568,236.17","142,910.81",0.9320,0.9320,"-34,525.46","676,621.52","538,360.10","138,261.43",600690
2017-06-30,"7,757,575.00","7,757,575.00","7,289,577.08","5,415,490.58","34,538.63","1,293,751.60","462,370.84","61,167.73","22,257.70","41,206.38","65,384.27",--,--,"581,862.76","30,900.41","8,457.90",--,"604,305.27","75,802.22","528,503.05","442,706.84","85,796.21",0.7260,0.7260,"-20,113.34","508,389.71","425,845.30","82,544.41",600690
2017-03-31,"3,774,114.34","3,774,114.34","3,582,702.86","2,638,061.98","17,839.31","668,310.45","213,620.39","22,529.36","22,341.37","15,846.73","31,993.36",--,--,"239,251.57","22,283.07","5,736.61",--,"255,798.02","40,795.90","215,002.13","173,876.36","41,125.77",0.2850,0.2850,54.53,"215,056.66","175,634.49","39,422.17",600690
2018-09-30,"13,813,877.44","13,813,877.44","13,114,625.60","9,817,468.45","64,878.00","2,133,945.74","623,654.19","76,585.69","26,869.22","-8,855.06","132,643.79",--,--,"882,790.22","30,713.10","7,417.67",--,"906,085.66","123,005.39","783,080.26","612,678.71","170,401.55",1.0050,0.9870,"101,315.83","884,396.10","696,061.18","188,334.92",600690
2018-06-30,"8,859,162.66","8,859,162.66","8,299,051.60","6,292,474.38","40,441.56","1,310,659.91","595,153.13","42,498.33","17,824.30","3,666.19","86,745.90",--,--,"673,519.20","21,825.79","4,839.25",--,"690,505.74","96,663.97","593,841.77","485,879.55","107,962.21",0.7970,0.7860,"39,053.19","632,894.96","512,523.74","120,371.22",600690
2018-03-31,"4,265,516.46","4,265,516.46","4,038,815.27","3,044,929.87","22,325.84","625,488.74","274,697.23","46,894.41","24,479.19","20,729.35","24,248.08",--,--,"282,343.04","11,179.33",849.60,--,"292,672.77","45,801.42","246,871.35","197,999.54","48,871.81",0.3250,0.3210,"-33,121.94","213,749.41","169,427.80","44,321.62",600690
