,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2008-12-31,"4,219,971.57","4,203,238.80","3,986,984.12","3,373,319.09","36,263.56","440,262.36","127,136.12","8,499.54",273.03,--,941.74,-323.72,-10.54,"233,918.65","8,313.53","1,606.70",83.44,"240,625.48","41,440.53","199,184.96","196,651.89","2,533.07",1.5700,1.5700,--,--,--,--,000651
2008-09-30,"3,511,243.36","3,498,701.29","3,332,412.64","2,837,663.10","29,263.28","367,190.37","79,388.35","14,864.99","3,362.93",--,-152.01,-152.01,--,"178,678.71","3,730.94","2,204.45",712.60,"180,205.20","33,492.97","146,712.23","144,787.79","1,924.44",1.1561,1.1561,--,--,--,--,000651
2008-06-30,"2,501,847.73","2,495,192.20","2,378,902.22","2,039,613.06","15,385.50","248,287.38","52,636.84","6,438.60","16,086.60",--,--,--,--,"122,945.52","3,311.67","1,380.35",105.38,"124,876.84","23,346.98","101,529.86","100,420.28","1,109.58",1.2027,1.2027,--,--,--,--,000651
2008-03-31,"1,079,240.01","1,077,304.79","1,025,868.63","880,726.31","6,698.16","98,931.29","26,567.13","3,609.14","9,198.76",--,--,--,--,"53,371.38","1,473.75",255.09,32.35,"54,590.05","10,619.30","43,970.75","43,609.58",361.17,0.5223,0.5223,--,--,--,--,000651
2009-12-31,"4,263,729.11","4,245,777.29","3,967,184.11","3,195,597.94","40,336.89","579,785.84","156,660.45","-9,702.19","2,908.88",230.70,677.02,-208.32,-0.19,"297,452.53","41,754.46","1,179.43",255.13,"338,027.55","44,861.21","293,166.34","291,345.04","1,821.30",1.5500,1.5500,"9,143.37","302,309.71","300,426.35","1,883.36",000651
2009-09-30,"3,067,623.02","3,056,550.81","2,839,564.05","2,286,663.25","25,601.39","439,665.64","87,856.55","-2,999.60","1,897.78",--,-33.94,-87.29,-0.10,"228,024.93","9,430.71",924.54,183.48,"236,531.09","36,391.44","200,139.65","199,188.39",951.26,1.0600,1.0600,"5,465.71","205,605.36","204,654.10",951.26,000651
2009-06-30,"2,005,729.20","1,999,022.20","1,864,609.54","1,492,978.46","14,761.61","295,527.07","54,254.35",533.98,"5,689.94",--,-95.14,-95.14,--,"141,024.52","7,177.23",854.17,117.52,"147,347.58","23,569.39","123,778.20","123,167.77",610.43,0.6600,0.6600,"3,424.97","127,203.17","126,592.74",610.43,000651
2009-03-31,"906,907.34","903,268.44","839,998.68","685,429.02","6,402.33","116,518.01","23,354.09","1,940.54","5,975.97",--,-99.19,-99.19,--,"66,809.47","1,507.56",519.46,--,"67,797.57","12,637.92","55,159.65","55,423.63",-263.98,0.4425,0.4425,--,--,--,--,000651
2010-12-31,"6,080,724.25","6,043,162.61","5,819,180.99","4,740,918.71","53,881.54","841,013.56","197,805.44","-30,896.95","9,959.67","6,919.25","6,219.77",-808.89,-4.09,"274,678.18","235,332.41","4,378.33",416.14,"505,632.26","75,311.71","430,320.55","427,572.16","2,748.39",1.5200,1.5200,-411.87,"429,908.68","427,271.84","2,636.84",000651
2010-09-30,"4,429,675.66","4,400,392.68","4,266,260.53","3,514,601.97","36,602.78","612,738.01","116,889.27","-21,797.39","2,425.20","4,532.82","5,648.09",-329.68,-1.11,"173,594.94","174,327.21","3,034.73",261.43,"344,887.41","55,221.17","289,666.24","289,007.61",658.63,1.0256,1.0256,"5,434.47","295,100.71","294,055.19","1,045.52",000651
