,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2009-12-31,"6,853,384.92","6,853,384.92","6,456,687.61","5,305,735.06","20,240.69","816,098.09","248,469.58","45,445.36","20,698.84","-13,230.70","-25,809.41",--,--,"357,657.20","55,233.40","23,469.94","16,746.50","389,420.66","57,965.78","331,454.88","161,144.84","170,310.04",--,--,--,--,--,--,000333
2009-09-30,"5,081,478.12","5,081,478.12","4,802,116.64","3,953,744.95","8,425.73","632,185.79","164,745.39","37,094.26","5,920.51","-23,343.87","25,582.30",--,--,"281,599.92","11,697.14","12,034.57",--,"281,262.49","38,553.84","242,708.65","113,224.79","129,483.86",--,--,--,--,--,--,000333
2009-06-30,"3,399,507.93","3,399,507.93","3,190,132.15","2,616,775.89","5,077.60","412,972.69","114,116.03","25,377.81","15,812.13","-17,666.81","21,500.79",--,--,"213,209.76","10,269.37","8,122.28",--,"215,356.86","24,899.54","190,457.32","94,144.42","96,312.90",--,--,--,--,--,--,000333
2009-03-31,"1,311,741.94","1,311,741.94","1,263,701.42","1,040,320.75","2,252.42","148,534.72","53,690.86","13,636.84","5,265.83",82.31,"10,243.33",--,--,"58,366.17","5,128.58","1,545.67",--,"61,949.08","4,112.22","57,836.85","39,516.15","18,320.70",--,--,--,--,--,--,000333
2010-12-31,"10,384,795.48","10,384,795.48","9,886,065.27","8,515,851.74","40,615.13","865,094.86","392,508.20","77,767.52","-5,772.17","11,922.23","40,264.16",--,--,"550,916.60","269,179.59","35,873.15",--,"784,223.05","143,595.18","640,627.86","370,596.90","270,030.96",--,--,--,--,--,--,000333
2010-09-30,"8,122,404.27","8,122,404.27","7,826,669.74","6,734,925.09","23,452.72","767,413.45","241,300.98","45,275.58","14,301.92","4,335.19","58,781.92",--,--,"358,851.64","211,770.25","15,183.01","3,184.24","555,438.88","89,876.68","465,562.20","241,914.45","223,647.75",--,--,--,--,--,--,000333
2010-06-30,"5,375,957.49","5,375,957.49","5,131,147.76","4,382,950.54","19,903.51","524,572.39","149,701.60","30,576.57","23,443.15","-3,545.33","62,083.28",--,--,"303,347.68","73,580.04","6,919.32","1,978.10","370,008.41","53,016.98","316,991.43","170,900.57","146,090.85",--,--,--,--,--,--,000333
2010-03-31,"2,178,764.19","2,178,764.19","2,135,253.17","1,798,321.88","9,331.01","234,758.83","68,731.72","10,530.25","13,579.48","-3,884.94","6,798.54",--,--,"46,424.63","67,380.85","3,378.97",541.17,"110,426.51","17,451.47","92,975.04","39,043.46","53,931.58",--,--,--,--,--,--,000333
2011-12-31,"13,411,615.42","13,404,564.93","12,749,921.30","10,841,875.53","76,109.44","1,163,002.09","519,847.87","144,906.57","4,179.79","5,499.71","80,221.52","15,732.43",--,"747,415.35","94,625.56","19,097.56","8,804.61","822,943.36","157,756.02","665,187.33","347,265.05","317,922.28",--,--,"-22,863.64","642,323.70","321,109.81","321,213.89",000333
2011-09-30,"11,040,055.19","11,040,055.19","10,580,066.46","9,022,966.74","60,922.95","1,017,041.73","350,465.70","98,669.34","30,000.00","6,772.45","43,998.67",--,--,"510,759.85","68,413.38","11,666.25",--,"567,506.97","124,656.56","442,850.41","200,649.06","242,201.36",--,--,--,--,--,--,000333
