,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额,stock_code
2009-12-31,"4,205,134.80","26,909.13","95,738.33","4,518,533.81","1,819,469.66","162,807.36","240,663.46","789,539.80","3,573,574.21","944,959.61",137.66,62.91,6.97,--,"4,039.18","4,246.72","71,617.83","75,947.35",--,"165,977.72","313,542.90","-309,296.18","46,604.59","46,604.59","102,295.98",--,0.74,"148,901.31","6,723.68","38,915.07",--,"111,323.25","156,962.00","-8,060.68","1,494.68","629,097.43","318,239.62","947,337.05","293,166.34",--,--,"1,056.32","41,012.27","1,118.81",931.19,--,--,-51.19,117.48,-230.70,--,--,314.40,-677.02,"-32,133.48","2,616.00","-95,511.04","95,203.50","1,661,834.39",--,--,"-1,023,807.65","944,959.61",--,--,--,"947,337.05","318,239.62",--,--,"629,097.43",000651
2009-09-30,"3,806,819.63","8,820.00","97,753.96","3,951,625.60","1,163,477.71","111,625.55","205,641.35","211,424.53","1,727,119.62","2,224,505.98",--,53.35,7.05,--,"1,572,140.00","1,572,200.41","43,279.55","45,808.93",--,"2,545,218.06","2,634,306.55","-1,062,106.14","28,490.89",--,"51,708.58",--,--,"80,199.47","5,770.25","35,694.02",--,8.75,"41,473.02","38,726.45","1,026.56","1,202,152.85","318,239.62","1,520,392.47",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,520,392.47","318,239.62",--,--,"1,202,152.85",000651
2009-06-30,"2,575,492.49","8,820.00","88,261.16","2,679,826.57","478,523.92","74,479.67","134,575.93","121,866.96","711,058.63","1,968,767.94",--,--,4.28,--,"993,590.00","993,594.28","30,154.80",628.58,--,"1,759,137.22","1,789,920.61","-796,326.33","28,490.89",--,"31,880.35",--,"2,157.81","62,529.05",767.09,"37,700.60",--,--,"38,467.70","24,061.35",561.37,"1,197,064.33","318,239.62","1,515,303.95","123,778.20",--,--,"5,689.94","19,703.89",489.20,866.63,--,--,115.78,--,--,--,--,"3,376.18",95.14,"1,926.94",20.44,"190,271.41","818,715.39","809,135.05",--,--,"-5,416.23","1,968,767.94",--,--,--,"1,515,303.95","318,239.62",--,--,"1,197,064.33",000651
2009-03-31,"1,556,615.40","8,820.00","12,735.96","1,578,171.36","257,680.39","43,691.95","37,948.60","-6,146.15","333,174.79","1,244,996.57",--,--,0.10,--,--,0.10,"18,667.51",--,--,"889,540.29","908,207.80","-908,207.70","11,604.53",--,"5,252.28",--,--,"16,856.81",767.09,3.88,--,--,770.97,"16,085.84",-125.27,"352,749.43","318,239.62","670,989.05",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"670,989.05","318,239.62",--,--,"352,749.43",000651
2010-12-31,"3,593,152.32","53,527.16","689,845.75","4,314,108.21","3,411,981.22","231,977.32","331,557.52","408,651.28","4,252,508.71","61,599.50","7,030.49","3,654.07",79.46,--,"97,970.28","108,734.29","248,221.72","48,551.44",--,667.12,"297,440.28","-188,705.99",--,--,"357,868.40",--,--,"357,868.40","136,184.03","96,425.96",--,"266,778.28","499,388.26","-141,519.87","-7,659.19","-276,285.54","947,337.05","671,051.51","430,320.55",--,--,"9,959.67","42,877.19","1,488.65",521.29,--,--,416.14,--,"-6,919.25",--,--,"4,268.83","-6,219.77","-48,271.41","2,420.62","-573,552.30","-1,292,816.80","605,056.15",--,--,"892,049.93","61,599.50",--,--,--,"671,051.51","947,337.05",--,--,"-276,285.54",000651
2010-09-30,"2,954,578.84","48,763.09","521,878.24","3,490,430.26","2,507,534.89","168,616.66","254,725.95","272,054.07","3,394,963.24","95,467.02",30.49,"2,184.21",31.00,--,478.71,"2,724.41","172,440.18","47,051.44",--,"49,094.81","268,586.42","-265,862.02",--,--,"246,617.43",--,--,"246,617.43","76,600.98","95,315.24",--,"222,731.47","394,647.69","-148,030.26","-4,339.44","-322,764.70","947,337.05","624,572.35",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"624,572.35","947,337.05",--,--,"-322,764.70",000651
2010-06-30,"2,128,393.59","39,388.39","497,837.55","2,687,690.79","1,731,489.87","111,174.92","188,593.10","155,814.40","2,495,351.04","192,339.75",30.49,2.74,24.69,--,"105,225.35","105,283.28","72,323.28","42,051.44",--,630.47,"115,005.18","-9,721.91",--,--,"178,810.20",--,--,"178,810.20","27,070.27",440.35,--,"152,345.10","179,855.72","-1,045.52","-1,214.64","180,357.68","947,337.05","1,127,694.73","157,321.47",--,--,"6,362.19","20,074.25",612.99,69.05,--,--,71.18,--,"-7,820.49",--,--,212.77,"-3,418.56","-8,574.36","3,082.30","-51,657.07","294,302.33","-532,148.04",--,--,"313,849.74","192,339.75",--,--,--,"1,127,694.73","947,337.05",--,--,"180,357.68",000651
2010-03-31,"1,294,991.31","17,463.16","340,125.19","1,705,990.62","951,888.82","62,141.45","65,340.31","62,151.01","1,468,247.98","237,742.64",30.49,2.74,5.00,--,45.35,83.58,"32,691.47","35,021.44",--,"2,325.00","70,037.91","-69,954.33",--,--,"68,595.12",--,--,"68,595.12",--,310.56,--,"64,242.33","64,552.89","4,042.23",-307.62,"171,522.92","947,337.05","1,118,859.97",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,118,859.97","947,337.05",--,--,"171,522.92",000651
2011-12-31,"5,275,464.02","95,697.06","385,182.88","5,675,047.82","4,371,702.53","384,559.37","419,452.96","614,750.42","5,339,431.82","335,616.00","132,336.94","22,022.16",618.57,--,"77,113.02","232,090.68","477,774.35","24,910.05",--,"6,133.53","508,817.93","-276,727.25",26.39,--,"491,048.72",--,--,"491,075.10","161,461.25","97,691.16",--,"311,382.77","570,535.18","-79,460.07","-16,597.41","-37,168.73","671,051.51","633,882.78","529,734.05",--,--,"-2,059.47","58,313.30","3,073.22","1,879.49",--,--,701.51,--,"5,750.87",--,--,"-1,612.66","-9,109.41","-15,493.26",315.30,"-591,672.90","-139,296.16","532,307.54",--,--,"-37,215.42","335,616.00",--,--,--,"633,882.78","671,051.51",--,--,"-37,168.73",000651
2011-09-30,"4,147,071.87","74,418.41","322,227.16","4,435,152.18","3,094,324.78","281,177.80","340,377.05","473,229.53","3,797,841.60","637,310.58","107,426.89","18,042.49",313.62,--,"63,911.82","189,694.81","354,936.35",--,--,"6,133.53","361,069.88","-171,375.07",25.37,--,"481,957.29",--,--,"481,982.66","258,039.14","93,293.21",--,"353,434.76","704,767.12","-222,784.45","-8,857.02","234,294.04","671,051.51","905,345.54",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000651
