,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2011-06-30,"2,311,895.74","7,285.56",--,"1,404,374.80","282,538.09","273,022.40","20,525.85",--,"50,062.08",--,"1,227,680.25",--,--,--,--,"4,326.80","5,581,711.57",--,--,--,--,"1,759.30","17,555.34","604,589.46","140,390.41",--,"1,499.27",--,--,--,"116,656.50",--,--,"3,550.38","158,546.09",--,"1,044,546.75","6,626,258.32","303,896.41",--,"931,608.81","1,551,845.81","654,534.42",--,"50,806.65","-22,768.63","1,477.42",70.79,"158,101.37",--,--,--,--,"938,360.42","4,574,739.95","507,491.70",--,--,--,--,--,"4,932.52",--,754.26,"513,178.48","5,087,918.43","281,788.88","17,166.72",--,--,--,"223,601.37",416.39,"939,263.23","1,465,479.17","72,860.71","1,538,339.88","6,626,258.32",000651
2011-03-31,"2,385,491.07","6,037.66",--,"991,987.59","209,854.26","290,354.21","14,536.71",--,"65,599.83","19,700.00","1,139,746.83",--,--,--,--,"8,670.56","5,131,978.72","77,288.33",--,--,--,"2,168.52","17,708.32","557,701.56","44,688.96",--,"1,302.06",--,--,--,"109,052.40",--,--,"2,474.19","160,876.54",--,"973,260.88","6,105,239.59","287,918.46",--,"731,832.32","1,224,320.68","791,004.64",--,"44,662.35","43,192.09","1,091.45",70.79,"99,304.60",--,--,--,--,"934,807.98","4,179,845.67","424,471.49",--,--,--,--,--,"3,631.30",--,770.06,"428,872.86","4,608,718.53","281,788.88","19,533.95",--,--,--,"223,601.37",416.39,"896,519.97","1,424,894.58","71,626.48","1,496,521.07","6,105,239.59",000651
2012-12-31,"2,894,392.17","26,346.00",--,"3,429,216.90","147,487.30","173,971.39","71,086.56",--,"29,035.64",--,"1,723,504.26",--,--,--,--,"13,724.30","8,508,764.51","208,890.34","55,491.25",--,--,"2,816.00","20,800.91","1,270,039.43","230,431.79",--,11.01,--,--,--,"163,527.30",--,--,"4,808.93","291,108.52",--,"2,247,925.48","10,756,689.99","352,064.21",--,"798,358.12","2,266,501.16","1,663,011.32",--,"135,767.24","252,210.04","2,019.91",70.79,"544,161.49",--,--,--,"251,376.37","1,574,387.51","7,883,035.95","98,446.32",--,--,--,--,--,"16,040.54",--,"1,146.97","115,633.83","7,998,669.78","300,786.54","318,717.59",--,--,--,"295,808.86",759.35,"1,757,227.70","2,674,313.44","83,706.77","2,758,020.21","10,756,689.99",000651
2012-09-30,"3,271,746.98","7,659.01",--,"3,735,535.26","182,276.54","263,515.47","55,898.43",--,"40,709.40",--,"1,203,947.24",--,--,--,--,"8,753.85","8,770,042.17","178,417.06","34,724.17",--,--,"1,476.69","19,244.41","1,183,577.94","240,314.77",--,273.43,--,--,--,"164,129.49",--,--,"4,777.87","243,909.98",--,"2,070,845.79","10,840,887.96","183,835.12",--,"858,054.43","2,149,670.52","2,270,277.78",--,"83,166.66","175,730.69",825.27,70.79,"498,641.17",--,--,--,"395,509.15","1,383,295.58","8,176,891.83","99,389.00",--,--,--,--,--,"10,862.95",--,"1,232.55","111,484.50","8,288,376.33","300,786.54","318,825.43",--,--,--,"250,108.21",564.54,"1,598,374.40","2,470,250.80","82,260.83","2,552,511.63","10,840,887.96",000651
2012-06-30,"3,425,648.26","2,012.25",--,"1,302,698.49","280,400.37","294,581.03","40,197.45",--,"74,095.97",--,"1,402,595.96",--,--,--,--,"7,206.09","6,829,435.87","127,522.04","34,817.55",--,--,"1,399.40","19,417.29","883,804.34","343,013.49",--,156.87,--,--,--,"164,988.51",--,--,"4,591.12","211,703.77",--,"1,791,414.36","8,620,850.24","175,423.24",--,"877,184.22","1,873,826.93","875,292.87",--,"67,185.95","34,121.13",459.21,"150,464.06","462,240.76",--,--,--,"355,843.17","1,137,250.09","6,159,373.34","152,976.84",--,--,--,--,--,"7,223.81",--,"1,323.41","161,524.06","6,320,897.39","300,786.54","314,331.46",--,--,--,"250,108.21",564.54,"1,352,270.50","2,219,802.26","80,150.58","2,299,952.84","8,620,850.24",000651
2012-03-31,"3,675,125.53","1,346.69",--,"1,114,789.55","191,876.02","278,072.23","30,655.50",--,"82,427.65",--,"1,461,780.77",--,--,--,--,"10,047.97","6,846,121.90","126,553.56","34,557.12",--,--,"1,571.87","19,590.17","797,787.02","296,773.02",--,69.34,--,--,--,"165,876.20",--,--,"4,738.60","183,459.27",--,"1,630,976.16","8,477,098.06","220,850.13",--,"811,200.58","1,433,190.48","1,659,800.69",--,"52,692.61","-12,776.68",702.01,70.79,"394,268.51",--,--,--,"209,945.72","1,020,406.69","5,984,842.18","203,716.51",--,--,--,--,--,"6,086.05",--,"1,334.27","211,136.83","6,195,979.01","300,786.54","317,168.24",--,--,--,"250,108.21",564.54,"1,332,914.09","2,202,296.49","78,822.56","2,281,119.06","8,477,098.06",000651
2013-12-31,"3,854,168.45","124,610.67",--,"4,629,724.23","184,927.53","149,864.97","72,955.96",--,"34,641.97",--,"1,312,273.04",--,--,--,--,"10,085.39","10,373,252.22","456,545.57","80,593.26",--,--,"9,756.85","50,305.65","1,403,413.84","186,167.70",--,629.43,--,--,--,"237,017.97",--,--,"4,266.53","568,261.32",--,"2,996,958.12","13,370,210.34","331,697.12",--,"823,020.82","2,743,449.47","1,198,643.37",--,"164,015.56","615,748.66","2,548.03",70.79,"479,377.85",--,--,--,"92,344.80","3,091,636.95","9,649,121.36","137,534.84",--,--,--,--,--,"32,894.31",--,"3,992.06","174,421.21","9,823,542.57","300,786.54","317,611.43",--,--,--,"295,808.86","4,711.41","2,539,556.39","3,458,281.03","88,386.74","3,546,667.77","13,370,210.34",000651
2013-09-30,"4,421,508.10","84,696.39",--,"4,105,622.39","208,556.83","200,517.06","54,113.09",--,"38,175.57",--,"939,011.47",--,--,--,--,"13,824.65","10,066,025.54","454,087.39","83,241.88",--,--,"3,262.99","47,298.43","1,366,349.88","201,090.15",--,"2,408.58",--,--,--,"225,073.55",--,--,"3,949.71","495,772.52",--,"2,882,535.09","12,948,560.63","334,504.01",--,"927,283.08","2,498,552.25","2,082,136.40",--,"106,342.74","385,746.02","1,602.38",70.79,"567,889.04",--,--,--,"93,156.66","2,440,811.49","9,586,888.77","118,015.79",--,--,--,--,--,"23,063.07",--,"2,671.74","143,750.60","9,730,639.36","300,786.54","317,806.37",--,--,--,"295,808.86",759.35,"2,214,310.77","3,130,010.51","87,910.76","3,217,921.27","12,948,560.63",000651
2013-06-30,"4,402,417.75","69,934.61",--,"1,665,312.41","365,087.65","221,509.66","71,538.91",--,"72,698.69",--,"1,449,052.16",--,--,--,--,"6,901.85","8,324,453.68","354,012.87","85,040.72",--,--,"3,269.61","44,426.78","1,348,221.06","210,907.85",--,901.27,--,--,--,"226,299.15",--,--,"3,819.15","439,477.90",--,"2,716,376.37","11,040,830.05","334,062.11",--,"925,884.13","2,416,859.34","720,101.02",--,"96,521.97","225,468.63","1,071.16","302,353.00","592,383.30",--,--,--,"147,355.50","2,044,506.57","8,038,055.70","124,034.77",--,--,--,--,--,"23,868.28",--,"2,677.36","150,580.41","8,188,636.12","300,786.54","311,338.79",--,--,--,"295,808.86",759.35,"1,857,975.54","2,766,994.67","85,199.26","2,852,193.93","11,040,830.05",000651
2013-03-31,"4,687,492.34","72,891.26",--,"1,968,840.69","228,699.76","278,731.38","64,239.28",--,"48,766.86",--,"1,489,957.60",--,--,--,--,"6,057.26","8,845,676.43","247,960.33","54,758.68",--,--,"9,206.52","43,202.47","1,298,974.49","249,404.84",--,103.37,--,--,--,"216,410.23",--,--,"4,381.47","342,287.33",--,"2,466,689.74","11,312,366.17","434,136.12",--,"813,399.09","2,174,968.82","1,820,177.67",--,"106,116.85","276,789.00","2,120.73",70.79,"571,413.64",--,--,--,"117,903.27","1,885,579.99","8,280,149.87","128,069.91",--,--,--,--,--,"13,128.33",--,"1,141.35","142,339.59","8,422,489.46","300,786.54","316,319.53",--,--,--,"295,808.86",759.35,"1,890,747.24","2,805,297.93","84,578.78","2,889,876.71","11,312,366.17",000651
